FSBK;First South Bancorp Inc;8.66;$82.3M;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/fsbk;;;;0.284217483
INTG;The Intergroup Corporation;25.2639;$60.25M;n/a;Consumer Services;Building operators;http://www.nasdaq.com/symbol/intg;;;;0.370194255
CMCSA;Comcast Corporation;61.57;$152.45B;n/a;Consumer Services;Television Services;http://www.nasdaq.com/symbol/cmcsa;;;;0.650180053
FSLR;First Solar, Inc.;55.87;$5.64B;2006;Technology;Semiconductors;http://www.nasdaq.com/symbol/fslr;;;;0.039974949
GOGL;Golden Ocean Group Limited;1.91;$329.81M;n/a;Consumer Services;Marine Transportation;http://www.nasdaq.com/symbol/gogl;;;;0.801188923
WTFCW;Wintrust Financial Corporation;26.1;n/a;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/wtfcw;;;;0.950845775
CERS;Cerus Corporation;5.14;$497.43M;1997;Health Care;Medical/Dental Instruments;http://www.nasdaq.com/symbol/cers;;;;0.956451025
PDEX;Pro-Dex, Inc.;2.74;$11.34M;n/a;Health Care;Medical/Dental Instruments;http://www.nasdaq.com/symbol/pdex;;;;0.029944468
WASH;Washington Trust Bancorp, Inc.;40.96;$689.82M;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/wash;;;;0.189414768
MPEL;Melco Crown Entertainment Limited;18.075;$9.84B;2006;Consumer Services;Hotels/Resorts;http://www.nasdaq.com/symbol/mpel;;;;0.831248378
FRP;FairPoint Communications, Inc.;17.63;$474.34M;n/a;Public Utilities;Telecommunications Equipment;http://www.nasdaq.com/symbol/frp;;;;0.509690479
CVTI;Covenant Transportation Group, Inc.;20.29;$370.76M;1994;Transportation;Trucking Freight/Courier Services;http://www.nasdaq.com/symbol/cvti;;;;0.78515026
EXPD;Expeditors International of Washington, Inc.;49.59;$9.24B;n/a;Transportation;Oil Refining/Marketing;http://www.nasdaq.com/symbol/expd;;;;0.796010452
EYEG;Eyegate Pharmaceuticals, Inc.;3.11;$23.8M;n/a;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/eyeg;;;;0.486441574
MMAC;MMA Capital Management, LLC;12.92;$86.69M;n/a;Finance;Real Estate;http://www.nasdaq.com/symbol/mmac;;;;0.083892312
MOSY;MoSys, Inc.;1.42;$92.62M;2001;Technology;Semiconductors;http://www.nasdaq.com/symbol/mosy;;;;0.799051873
